solution_id,solvent_id,vol_frac
1,7964,1.0
2,7964,1.0
3,6212,1.0
4,6212,1.0
5,6212,1.0
6,6212,1.0
7,6212,1.0
8,6212,1.0
9,6212,1.0
10,6212,1.0
11,6212,1.0
12,7964,1.0
13,7964,1.0
14,7964,1.0
15,7239,1.0
16,7239,1.0
17,7239,1.0
18,7239,1.0
19,7239,1.0
20,7239,1.0
21,7239,1.0
22,7239,1.0
23,6212,1.0
24,7239,1.0
25,7239,1.0
26,6212,1.0
27,6212,1.0
28,6212,1.0
29,6212,1.0
30,6212,1.0
31,6212,1.0
32,6212,1.0
33,7239,1.0
34,7239,1.0
35,6212,0.9299999999999999
35,7239,0.07
36,6212,1.0
37,6212,0.9299999999999999
38,6212,0.9299999999999999
39,6212,0.9299999999999999
37,7239,0.07
38,7239,0.07
39,7239,0.07
42,6212,1.0
43,6212,1.0
44,6212,1.0
45,6212,1.0
46,6212,1.0
47,6212,1.0
48,6212,1.0
49,6212,1.0
50,6212,1.0
51,6212,1.0
52,6212,1.0
53,7964,1.0
54,7964,1.0
55,7964,1.0
56,7964,1.0
57,7964,1.0
58,7239,1.0
59,7239,1.0
60,6212,1.0
61,6212,1.0
62,6212,1.0
63,7239,1.0
64,7964,1.0
65,7964,1.0
66,7964,1.0
67,7964,1.0
68,7964,1.0
69,7964,1.0
70,7964,1.0
71,7964,1.0
72,7964,1.0
73,7964,1.0
74,7964,1.0
75,7964,1.0
76,7964,1.0
77,7964,1.0
78,7964,1.0
79,7964,1.0
80,7964,1.0
81,7964,1.0
82,7964,1.0
83,7964,1.0
84,7964,1.0
85,7964,1.0
86,7964,1.0
87,7964,1.0
88,6591,1.0
89,6591,1.0
90,6591,1.0
91,6591,1.0
92,7239,1.0
93,6591,1.0
94,6591,1.0
95,6591,1.0
96,7239,1.0
97,6591,1.0
98,6591,1.0
99,6591,1.0
100,6591,1.0
101,7239,1.0
102,7239,1.0
103,7239,1.0
104,7239,1.0
105,7239,1.0
106,7003,0.5
106,7809,0.5
107,7239,1.0
108,6212,1.0
109,7964,1.0
110,1140,1.0
111,7809,1.0
112,7003,1.0
113,7947,1.0
114,7964,1.0
115,7964,1.0
116,7964,1.0
117,7964,1.0
118,7964,1.0
119,7239,1.0
120,7239,1.0
121,7239,1.0
122,7239,1.0
123,7239,1.0
124,7239,1.0
125,7239,1.0
126,7239,1.0
127,7809,1.0
128,7964,1.0
129,7964,1.0
130,7964,1.0
131,7964,1.0
132,7964,1.0
133,7964,1.0
134,7964,1.0
135,7964,1.0
136,7964,1.0
137,7964,1.0
138,7964,1.0
139,7964,1.0
140,7964,1.0
141,7964,1.0
142,7964,1.0
143,1140,1.0
144,7239,1.0
145,7947,1.0
146,1140,1.0
147,7239,1.0
148,7239,1.0
149,7809,1.0
150,7809,1.0
151,7964,1.0
152,6212,1.0
153,6212,1.0
154,6212,1.0
155,6212,1.0
156,6212,1.0
157,6212,1.0
158,6212,1.0
159,6212,1.0
160,6212,1.0
161,6212,1.0
162,6212,1.0
163,7809,1.0
164,13229,1.0
165,13,1.0
166,8030,1.0
167,6212,1.0
168,6212,1.0
169,6212,1.0
170,6212,1.0
171,6212,1.0
172,6212,1.0
173,6212,1.0
174,6212,1.0
175,13,1.0
176,13,1.0
177,13,1.0
178,13,1.0
179,13,1.0
180,13,1.0
181,13,1.0
182,13,1.0
183,6212,1.0
184,7964,1.0
185,6212,1.0
186,6212,1.0
187,6212,1.0
188,6212,1.0
189,6212,1.0
190,6212,1.0
191,6212,1.0
192,6212,1.0
193,6212,1.0
194,6212,1.0
195,6212,1.0
196,6212,1.0
197,6212,1.0
198,6212,1.0
199,6212,1.0
200,6212,1.0
201,6212,1.0
202,6212,1.0
203,6212,1.0
204,6212,1.0
205,6212,1.0
206,7809,1.0
207,7809,1.0
208,7809,1.0
209,6212,1.0
210,6212,1.0
211,6212,1.0
212,7809,1.0
213,1140,1.0
214,7501,1.0
215,241,1.0
216,6212,1.0
217,6212,1.0
218,6212,1.0
219,6212,1.0
220,6212,1.0
221,6212,1.0
222,6212,1.0
223,6212,1.0
224,13,1.0
225,7809,1.0
226,6212,1.0
227,13,1.0
228,7809,1.0
229,6212,1.0
230,6212,1.0
231,6212,1.0
232,6212,1.0
233,6212,1.0
234,6212,1.0
235,6212,1.0
236,6212,1.0
237,6212,1.0
238,6212,1.0
239,6212,1.0
240,6212,1.0
241,6212,1.0
242,6212,1.0
243,6212,1.0
244,6212,1.0
245,6212,1.0
246,6212,1.0
247,1140,1.0
248,1140,1.0
